id,recipe_name,pet_type,age_group,ingredients,ingredient_quantities,preparation_steps,calories,protein,fat,carbohydrates,vitamins,minerals,cook_time,difficulty,health_benefits,health_conditions_supported,source_url
DOG_001,Nutrient-Rich Salmon Fillet & White Rice Mash,Dog,Baby,"Salmon Fillet, White Rice, Broccoli, Carrots, Flaxseed Oil","124g, 54g, 79g, 66g, 7g","Thoroughly cook the Salmon Fillet in a pan until fully cooked through. | Prepare the White Rice by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Broccoli, Carrots) so they are easily digestible. | Mix the cooked Salmon Fillet, White Rice, and vegetables together in a large bowl. | Drizzle with Flaxseed Oil and let the mixture cool completely before serving.",135,8.8,7.2,8.2,"Vitamin D3, Vitamin B12, Vitamin E","Iron, Copper",15 mins,Easy,General Wellness,General Wellness Support,https://pawfeed.ai/recipes/dog-nutrient-rich-salmon-fillet-and-white-rice-mash
DOG_002,Homestyle Cod Fillet & Oatmeal Skillet Mix,Dog,Baby,"Cod Fillet, Oatmeal, Carrots, Spinach, Peas, Salmon Oil","144g, 67g, 62g, 67g, 52g, 6g","Thoroughly cook the Cod Fillet in a pan until fully cooked through. | Prepare the Oatmeal by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Carrots, Spinach, Peas) so they are easily digestible. | Mix the cooked Cod Fillet, Oatmeal, and vegetables together in a large bowl. | Drizzle with Salmon Oil and let the mixture cool completely before serving.",130,10.7,3.1,15.0,"Vitamin E, Niacin, Vitamin B12, Vitamin D3","Calcium, Potassium",30 mins,Easy,"Weight Management, Skin & Coat","Weight Management Support, Skin & Coat Support",https://pawfeed.ai/recipes/dog-homestyle-cod-fillet-and-oatmeal-skillet-mix
DOG_003,Fresh & Healthy Tofu & Brown Rice Casserole,Dog,Senior,"Tofu, Brown Rice, Celery, Spinach, Coconut Oil","168g, 66g, 40g, 21g, 6g","Thoroughly cook the Tofu in a pan until fully cooked through. | Prepare the Brown Rice by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Celery, Spinach) so they are easily digestible. | Mix the cooked Tofu, Brown Rice, and vegetables together in a large bowl. | Drizzle with Coconut Oil and let the mixture cool completely before serving.",88,5.3,4.9,6.8,"Folic Acid, Vitamin A, Riboflavin, Vitamin E","Manganese, Selenium, Potassium, Zinc",25 mins,Easy,"High Protein, Digestive Health","High Protein Support, Digestive Health Support",https://pawfeed.ai/recipes/dog-fresh-and-healthy-tofu-and-brown-rice-casserole
DOG_004,Wholesome Egg & Barley Puree topper,Dog,Adult,"Egg, Barley, Broccoli, Peas, Olive Oil","174g, 77g, 64g, 40g, 15g","Thoroughly cook the Egg in a pan until fully cooked through. | Prepare the Barley by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Broccoli, Peas) so they are easily digestible. | Mix the cooked Egg, Barley, and vegetables together in a large bowl. | Drizzle with Olive Oil and let the mixture cool completely before serving.",197,9.8,9.8,18.4,"Niacin, Vitamin D3, Riboflavin","Manganese, Calcium",15 mins,Easy,"Digestive Health, Weight Management","Digestive Health Support, Weight Management Support",https://pawfeed.ai/recipes/dog-wholesome-egg-and-barley-puree-topper
DOG_005,Wholesome Turkey Breast & Barley Puree topper,Dog,Senior,"Turkey Breast, Barley, Spinach, Carrots, Celery, Coconut Oil","147g, 103g, 79g, 33g, 40g, 7g","Thoroughly cook the Turkey Breast in a pan until fully cooked through. | Prepare the Barley by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Spinach, Carrots, Celery) so they are easily digestible. | Mix the cooked Turkey Breast, Barley, and vegetables together in a large bowl. | Drizzle with Coconut Oil and let the mixture cool completely before serving.",162,14.6,2.9,20.1,"Riboflavin, Vitamin E, Folic Acid, Vitamin C","Potassium, Calcium",20 mins,Easy,"Senior Pet, Skin & Coat","Senior Pet Support, Skin & Coat Support",https://pawfeed.ai/recipes/dog-wholesome-turkey-breast-and-barley-puree-topper
DOG_006,Savory Lamb Lean & Potato Loaf,Dog,Adult,"Lamb Lean, Potato, Spinach, Zucchini, Olive Oil","116g, 108g, 63g, 31g, 11g","Thoroughly cook the Lamb Lean in a pan until fully cooked through. | Prepare the Potato by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Spinach, Zucchini) so they are easily digestible. | Mix the cooked Lamb Lean, Potato, and vegetables together in a large bowl. | Drizzle with Olive Oil and let the mixture cool completely before serving.",163,10.1,10.9,6.6,"Vitamin E, Vitamin B12, Thiamine","Zinc, Calcium, Iron, Selenium",20 mins,Medium,High Protein,High Protein Support,https://pawfeed.ai/recipes/dog-savory-lamb-lean-and-potato-loaf
DOG_007,Premium Pork Loin & White Rice Loaf,Dog,Senior,"Pork Loin, White Rice, Green Beans, Flaxseed Oil","207g, 82g, 40g, 7g","Thoroughly cook the Pork Loin in a pan until fully cooked through. | Prepare the White Rice by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Green Beans) so they are easily digestible. | Mix the cooked Pork Loin, White Rice, and vegetables together in a large bowl. | Drizzle with Flaxseed Oil and let the mixture cool completely before serving.",203,17.5,10.8,7.7,"Vitamin A, Vitamin B12, Niacin, Folic Acid","Magnesium, Zinc, Potassium, Manganese",30 mins,Easy,Joint Health,Joint Health Support,https://pawfeed.ai/recipes/dog-premium-pork-loin-and-white-rice-loaf
DOG_008,Nutrient-Rich Beef Lean & Pumpkin Puree Bite-Sized Dinner,Dog,Adult,"Beef Lean, Pumpkin Puree, Green Beans, Broccoli, Olive Oil","176g, 128g, 45g, 44g, 8g","Thoroughly cook the Beef Lean in a pan until fully cooked through. | Prepare the Pumpkin Puree by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Green Beans, Broccoli) so they are easily digestible. | Mix the cooked Beef Lean, Pumpkin Puree, and vegetables together in a large bowl. | Drizzle with Olive Oil and let the mixture cool completely before serving.",143,12.2,8.7,3.6,"Vitamin C, Vitamin B12, Vitamin D3","Copper, Selenium",25 mins,Medium,"Skin & Coat, High Protein","Skin & Coat Support, High Protein Support",https://pawfeed.ai/recipes/dog-nutrient-rich-beef-lean-and-pumpkin-puree-bite-sized-dinner
DOG_009,Hearty Beef Lean & Quinoa Loaf,Dog,Adult,"Beef Lean, Quinoa, Zucchini, Peas, Olive Oil","185g, 87g, 35g, 46g, 15g","Thoroughly cook the Beef Lean in a pan until fully cooked through. | Prepare the Quinoa by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Zucchini, Peas) so they are easily digestible. | Mix the cooked Beef Lean, Quinoa, and vegetables together in a large bowl. | Drizzle with Olive Oil and let the mixture cool completely before serving.",202,14.9,12.1,7.0,"Niacin, Vitamin C, Vitamin A, Folic Acid","Zinc, Iron, Manganese",15 mins,Medium,Weight Management,Weight Management Support,https://pawfeed.ai/recipes/dog-hearty-beef-lean-and-quinoa-loaf
DOG_010,Slow-Cooked Cod Fillet & Oatmeal Puree topper,Dog,Adult,"Cod Fillet, Oatmeal, Spinach, Peas, Salmon Oil","115g, 84g, 64g, 49g, 7g","Thoroughly cook the Cod Fillet in a pan until fully cooked through. | Prepare the Oatmeal by boiling or steaming according to standard cooking guidelines. | Steam or finely chop the vegetables (Spinach, Peas) so they are easily digestible. | Mix the cooked Cod Fillet, Oatmeal, and vegetables together in a large bowl. | Drizzle with Salmon Oil and let the mixture cool completely before serving.",169,12.4,4.4,20.3,"Vitamin B12, Vitamin D3, Vitamin A","Phosphorus, Zinc",30 mins,Easy,"Digestive Health, Senior Pet","Digestive Health Support, Senior Pet Support",https://pawfeed.ai/recipes/dog-slow-cooked-cod-fillet-and-oatmeal-puree-topper
